date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-06-29,27.4,31.77,23.18,64.72,4.68,1.83,3.27,0.81,214.6,0.37,0.28,0.27
2014-06-30,28.81,35.69,22.46,57.81,2.92,1.65,2.49,0.87,209.4,0.33,0.28,0.27
2014-07-01,28.47,33.9,23.19,58.48,3.88,1.45,2.23,0.63,202.0,0.34,0.28,0.27
2014-07-02,27.84,33.96,22.99,63.25,6.34,1.33,2.34,0.51,113.0,0.36,0.28,0.27
2014-07-03,29.47,35.78,24.0,58.23,3.99,0.98,2.05,0.4,233.9,0.37,0.28,0.27
2014-07-04,28.74,34.74,24.13,64.29,2.3,2.59,3.12,2.03,243.3,0.33,0.28,0.27
2014-07-05,27.16,32.53,22.66,68.47,4.17,2.69,3.62,2.05,236.9,0.35,0.28,0.28
2014-07-06,26.32,31.31,21.91,70.75,5.89,2.15,3.9,0.88,217.5,0.37,0.29,0.28
2014-07-07,27.53,34.13,21.55,60.46,0.41,2.18,3.33,1.13,211.7,0.32,0.29,0.28
2014-07-08,27.73,33.45,22.34,61.81,6.84,1.49,2.62,0.51,269.9,0.35,0.29,0.28
2014-07-09,27.2,31.3,23.26,67.15,11.43,1.62,2.54,0.44,257.8,0.43,0.3,0.29
2014-07-10,28.47,34.88,22.12,61.02,0.88,1.06,2.01,0.26,225.4,0.36,0.3,0.29
2014-07-11,29.02,34.83,22.81,55.52,0.85,1.21,2.72,0.06,226.9,0.3,0.29,0.29
2014-07-12,28.35,34.93,24.33,61.37,0.67,1.37,2.47,0.34,242.9,0.28,0.29,0.29
2014-07-13,28.3,34.25,23.13,58.78,0.25,1.23,2.01,0.62,213.4,0.27,0.29,0.29
2014-07-14,30.49,37.72,22.7,49.66,1.19,1.13,1.81,0.16,154.2,0.26,0.28,0.29
2014-07-15,30.67,37.24,24.54,51.66,9.07,1.18,2.06,0.51,280.0,0.35,0.29,0.29
2014-07-16,26.65,31.77,23.01,77.96,20.32,1.95,2.72,1.11,227.7,0.5,0.31,0.29
2014-07-17,27.21,33.4,22.71,69.03,5.94,1.44,2.16,0.78,181.3,0.46,0.33,0.31
2014-07-18,25.79,30.07,22.43,75.72,7.75,1.8,2.91,1.03,267.8,0.43,0.33,0.31
2014-07-19,26.72,32.01,22.08,71.04,1.97,1.67,2.94,0.64,257.6,0.39,0.32,0.31
2014-07-20,27.61,33.17,22.28,66.33,0.75,1.33,2.31,0.6,232.4,0.35,0.32,0.31
2014-07-21,28.53,34.59,22.66,62.67,2.03,1.13,2.08,0.48,255.2,0.33,0.31,0.31
2014-07-22,25.55,28.49,23.18,75.33,2.65,1.53,2.25,0.61,264.4,0.35,0.31,0.31
2014-07-23,26.27,31.55,21.94,68.8,2.05,1.07,2.13,0.29,262.6,0.35,0.31,0.31
2014-07-24,26.23,30.81,22.12,68.86,2.55,1.49,2.52,1.02,256.5,0.35,0.31,0.31
2014-07-25,27.0,32.59,21.78,65.66,1.9,1.44,2.88,0.62,240.3,0.34,0.31,0.31
2014-07-26,29.12,36.25,22.43,58.04,0.48,1.17,1.95,0.19,245.9,0.31,0.3,0.31
2014-07-27,29.94,37.6,22.59,53.68,0.88,1.69,2.22,1.08,215.1,0.28,0.3,0.31
2014-07-28,28.35,34.23,23.2,61.97,1.46,1.19,1.71,0.78,205.9,0.29,0.3,0.31
2014-07-29,27.79,32.48,23.22,61.56,1.26,1.04,1.5,0.64,200.5,0.3,0.3,0.31
2014-07-30,27.09,32.76,22.82,68.85,9.13,1.36,2.07,0.73,236.7,0.39,0.3,0.31
2014-07-31,26.4,31.31,21.94,73.12,8.63,1.39,2.62,0.41,250.7,0.44,0.31,0.32
2014-08-01,24.07,26.73,22.45,87.1,16.17,1.12,2.22,0.11,266.1,0.51,0.33,0.32
2014-08-02,23.81,26.47,22.0,85.81,5.04,1.61,3.54,0.29,220.0,0.47,0.35,0.33
2014-08-03,24.15,28.36,21.19,85.23,18.42,1.38,2.3,0.63,249.9,0.55,0.36,0.34
2014-08-04,26.0,32.1,20.73,74.11,2.58,1.0,2.23,0.42,258.5,0.45,0.37,0.35
2014-08-05,25.41,29.58,21.52,78.08,3.9,1.41,2.47,0.58,241.0,0.43,0.36,0.35
2014-08-06,24.96,29.18,21.97,76.21,2.11,1.49,2.96,0.58,230.1,0.42,0.36,0.35
2014-08-07,25.73,31.36,20.9,72.38,4.3,1.5,2.09,0.96,235.6,0.41,0.35,0.35
2014-08-08,25.92,31.78,20.98,74.1,4.69,1.64,2.78,0.55,242.6,0.42,0.35,0.35
2014-08-09,24.05,27.05,21.71,81.52,5.51,1.7,2.64,0.48,232.2,0.45,0.35,0.35
2014-08-10,25.88,31.89,20.25,72.11,2.33,1.23,1.86,0.76,258.8,0.41,0.35,0.35
2014-08-11,26.47,31.48,22.0,70.2,2.32,1.6,2.41,0.81,286.8,0.39,0.34,0.35
2014-08-12,24.39,27.52,22.14,83.25,5.69,1.84,3.03,0.83,257.4,0.43,0.34,0.35
2014-08-13,25.01,30.83,20.57,74.09,2.07,1.59,2.45,0.8,241.9,0.42,0.35,0.35
2014-08-14,25.93,31.8,20.38,71.12,0.99,1.28,2.19,0.42,269.0,0.36,0.34,0.35
2014-08-15,24.86,28.79,22.37,81.81,15.7,1.26,1.87,0.48,7.6,0.47,0.35,0.35
2014-08-16,24.23,29.18,20.8,82.28,12.2,1.34,2.3,0.61,159.8,0.55,0.37,0.37
2014-08-17,25.49,29.88,20.96,76.37,6.31,0.52,0.77,0.32,121.0,0.49,0.37,0.37
2014-08-18,25.81,30.99,21.93,74.27,5.3,0.7,1.04,0.39,8.4,0.48,0.38,0.37
2014-08-19,26.66,32.8,21.11,70.48,5.54,0.63,1.06,0.3,163.2,0.46,0.37,0.37
2014-08-20,25.93,31.75,21.42,72.18,7.05,0.94,1.6,0.58,206.0,0.47,0.37,0.37
2014-08-21,25.22,30.9,20.34,77.51,10.59,1.01,1.98,0.36,248.7,0.51,0.37,0.37
2014-08-22,23.29,26.26,20.89,87.87,15.93,0.77,1.29,0.34,314.7,0.58,0.39,0.38
2014-08-23,23.66,28.67,20.41,82.34,5.33,1.38,2.53,0.48,177.2,0.51,0.4,0.39
2014-08-24,25.72,32.23,19.17,71.68,0.68,0.49,0.71,0.06,342.5,0.44,0.39,0.39
2014-08-25,27.14,33.46,21.53,67.16,1.22,1.36,2.05,0.64,262.8,0.41,0.38,0.39
2014-08-26,26.04,30.41,22.77,74.59,1.79,1.2,1.92,0.27,196.6,0.42,0.37,0.38
2014-08-27,26.21,32.79,20.22,69.66,0.76,0.68,1.41,0.08,272.7,0.4,0.37,0.38
2014-08-28,27.73,34.23,21.88,64.04,1.81,0.98,1.59,0.49,304.2,0.39,0.36,0.38
2014-08-29,27.75,35.47,21.64,68.03,6.1,1.21,1.8,0.64,216.9,0.43,0.36,0.38
2014-08-30,25.56,29.85,22.75,84.79,17.5,1.09,1.89,0.4,233.0,0.56,0.37,0.38
2014-08-31,24.91,29.97,21.74,82.58,8.01,0.55,0.86,0.28,312.2,0.53,0.39,0.39
2014-09-01,24.14,27.59,21.57,85.66,23.44,0.83,1.38,0.45,172.2,0.61,0.41,0.4
2014-09-02,25.01,30.45,20.55,81.2,25.28,1.19,2.1,0.59,225.9,0.63,0.45,0.42
2014-09-03,25.29,29.95,21.7,80.1,0.98,1.05,1.95,0.46,260.7,0.52,0.45,0.43
2014-09-04,25.43,29.94,21.4,77.72,0.29,1.0,1.92,0.37,298.1,0.47,0.44,0.42
2014-09-05,25.83,31.24,21.09,76.02,0.35,1.15,2.22,0.48,147.4,0.45,0.42,0.42
2014-09-06,25.15,30.77,20.47,69.24,0.19,1.63,2.53,0.7,212.1,0.43,0.41,0.42
